State,Population,Violent_crime,Murder_manslaughter,Rape_revdef,Rape_legdef,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Car_theft
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Mississippi,"2,992,333","8,254",259,"1,203",862,"2,294","4,498","84,790","24,799","55,748","4,243"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Missouri,"6,083,672","30,261",502,"2,553","1,854","6,376","20,830","173,642","34,006","122,637","16,999"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Montana,"1,032,949","3,611",36,547,431,210,"2,818","27,100","3,838","20,844","2,418"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nebraska,"1,896,190","5,212",62,873,652,994,"3,283","42,495","6,422","32,072","4,001"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nevada,"2,890,845","20,118",178,"1,688","1,238","6,287","11,965","77,137","22,360","43,426","11,351"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
New Hampshire,"1,330,608","2,652",14,627,461,468,"1,543","23,229","3,467","18,871",891
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
New Jersey,"8,958,013","22,879",363,"1,373","1,019","9,729","11,414","145,701","27,960","105,963","11,778"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
New Mexico,"2,085,109","13,681",117,"1,672","1,215","2,485","9,407","77,094","17,085","51,483","8,526"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
New York,"19,795,791","75,165",609,"6,074","4,389","23,936","44,546","317,529","44,276","257,940","15,313"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
